date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:13:49	1353481/1353481	---M--	200	added ('OK')	image/jpeg	etag:%2214a709-5c03df172b23a%22	https://preview.colorlib.com/theme/kayelux/images/bg_1.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/bg_1.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:50	517241/517241	---M--	200	added ('OK')	image/jpeg	etag:%227e479-5c03df370b333%22	https://preview.colorlib.com/theme/kayelux/images/about.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/about.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:51	259732/259732	---M--	200	added ('OK')	image/jpeg	etag:%223f694-5c03df128e7d3%22	https://preview.colorlib.com/theme/kayelux/images/bg_4.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/bg_4.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:53	864459/864459	---M--	200	added ('OK')	image/jpeg	etag:%22d30cb-5c03df1ab466e%22	https://preview.colorlib.com/theme/kayelux/images/bg_3.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/bg_3.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:53	456651/456651	---M--	200	added ('OK')	image/jpeg	etag:%226f7cb-5c03df3463854%22	https://preview.colorlib.com/theme/kayelux/images/staff-1.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/staff-1.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:53	477432/477432	---M--	200	added ('OK')	image/jpeg	etag:%22748f8-5c03df3209f70%22	https://preview.colorlib.com/theme/kayelux/images/staff-2.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/staff-2.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:56	753051/753051	---M--	200	added ('OK')	image/jpeg	etag:%22b7d9b-5c03df32fe1a5%22	https://preview.colorlib.com/theme/kayelux/images/staff-3.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/staff-3.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:56	964393/964393	---M--	200	added ('OK')	image/jpeg	etag:%22eb729-5c03df392c1d9%22	https://preview.colorlib.com/theme/kayelux/images/staff-4.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/staff-4.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:56	322874/322874	---M--	200	added ('OK')	image/jpeg	etag:%224ed3a-5c03df16f56dc%22	https://preview.colorlib.com/theme/kayelux/images/gallery-1.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/gallery-1.jpg	(from https://preview.colorlib.com/theme/kayelux/)
08:13:57	446526/446526	---M--	200	added ('OK')	image/jpeg	etag:%226d03e-5c03df19ec358%22	https://preview.colorlib.com/theme/kayelux/images/gallery-2.jpg	C:/Users/91950/OneDrive/Documents/ts-3/preview.colorlib.com/theme/kayelux/images/gallery-2.jpg	(from https://preview.colorlib.com/theme/kayelux/)
